epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,learning_rate
0,1.2885393317450176,0.6422720797720798,0.33299641638994215,0.9673076923076923,0.33299641638994215,0.9673076923076923,0.00099
1,0.270911907015199,0.9768518518518519,0.07623173236846924,0.992948717948718,0.07623173236846924,0.992948717948718,0.0009801
2,0.08404000476002693,0.9959045584045584,0.04203591734170914,0.9916666666666667,0.04203591734170914,0.9916666666666667,0.000970299
3,0.046844447603110566,0.9966168091168092,0.029138829335570337,0.9942307692307693,0.029138829335570337,0.9942307692307693,0.0009605960099999999
4,0.035392338134856385,0.9964387464387464,0.024156238846480847,0.9948717948717949,0.024156238846480847,0.9948717948717949,0.0009509900498999999
5,0.027229703941636464,0.9973290598290598,0.018408829364925623,0.9948717948717949,0.018408829364925623,0.9948717948717949,0.0009414801494009999
6,0.023155613252046434,0.9971509971509972,0.016895379684865475,0.9955128205128205,0.016895379684865475,0.9955128205128205,0.0009320653479069899
7,0.019726160194047472,0.9978632478632479,0.01612708187662065,0.9955128205128205,0.01612708187662065,0.9955128205128205,0.00092274469442792
8,0.016782935020852496,0.9983974358974359,0.016390522038564087,0.9961538461538462,0.016390522038564087,0.9961538461538462,0.0009135172474836408
9,0.013833395835139196,0.9989316239316239,0.015358004979789256,0.9955128205128205,0.015358004979789256,0.9955128205128205,0.0009043820750088043
10,0.013223079916894098,0.9983974358974359,0.03959517195820808,0.9878205128205129,0.03959517195820808,0.9878205128205129,0.0008953382542587163
