epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,learning_rate
0,1.7717421528967945,0.41114672364672367,1.4305704474449157,0.36666666666666664,1.4305704474449157,0.36666666666666664,0.00099
1,0.8443946997550401,0.7054843304843305,0.5942974722385407,0.7576923076923077,0.5942974722385407,0.7576923076923077,0.0009801
2,0.3917525773021308,0.875,0.44543415095657113,0.8320512820512821,0.44543415095657113,0.8320512820512821,0.000970299
3,0.28161167387257924,0.8945868945868946,0.31624109998345373,0.892948717948718,0.31624109998345373,0.892948717948718,0.0009605960099999999
4,0.25148973131383007,0.9111467236467237,0.28358093221730085,0.9102564102564102,0.28358093221730085,0.9102564102564102,0.0009509900498999999
5,0.2223730173639276,0.9168447293447294,0.32472673206590114,0.8916666666666667,0.32472673206590114,0.8916666666666667,0.0009414801494009999
6,0.21833917854184454,0.9237891737891738,0.2552735038474202,0.9096153846153846,0.2552735038474202,0.9096153846153846,0.0009320653479069899
7,0.18266837315803225,0.9339387464387464,0.26168553662486377,0.9294871794871795,0.26168553662486377,0.9294871794871795,0.00092274469442792
8,0.16381235027008437,0.9415954415954416,0.27054219085373915,0.8961538461538462,0.27054219085373915,0.8961538461538462,0.0009135172474836408
9,0.15151572697372598,0.9453347578347578,0.23431605906691402,0.8967948717948718,0.23431605906691402,0.8967948717948718,0.0009043820750088043
10,0.13546476445414804,0.9494301994301995,0.25948860894888637,0.9128205128205128,0.25948860894888637,0.9128205128205128,0.0008953382542587163
11,0.15572136801413514,0.9430199430199431,0.18149582681246101,0.9487179487179487,0.18149582681246101,0.9487179487179487,0.0008863848717161291
12,0.1421217918395996,0.9551282051282052,0.14077830492751672,0.9621794871794872,0.14077830492751672,0.9621794871794872,0.0008775210229989678
13,0.12028118798678572,0.9577991452991453,0.2624716461321805,0.8871794871794871,0.2624716461321805,0.8871794871794871,0.0008687458127689781
14,0.13610740054652773,0.9506766381766382,0.1340310096309986,0.9621794871794872,0.1340310096309986,0.9621794871794872,0.0008600583546412883
15,0.1150640443771739,0.9633190883190883,0.11073940620059147,0.9705128205128205,0.11073940620059147,0.9705128205128205,0.0008514577710948754
16,0.12432298805056648,0.9576210826210826,0.2834453795989975,0.9064102564102564,0.2834453795989975,0.9064102564102564,0.0008429431933839266
17,0.10451634196479889,0.9643874643874644,0.15101529739331454,0.9487179487179487,0.15101529739331454,0.9487179487179487,0.0008345137614500873
18,0.09533647420308129,0.9672364672364673,0.0995807533262996,0.9743589743589743,0.0995807533262996,0.9743589743589743,0.0008261686238355864
19,0.08040777500718832,0.9747150997150997,0.1020690142083913,0.9724358974358974,0.1020690142083913,0.9724358974358974,0.0008179069375972306
20,0.07827085311609236,0.9754273504273504,0.15053608240385075,0.9564102564102565,0.15053608240385075,0.9564102564102565,0.0008097278682212583
21,0.09884192230476235,0.967948717948718,0.30060495566111056,0.9301282051282052,0.30060495566111056,0.9301282051282052,0.0008016305895390457
22,0.09274491092020815,0.9677706552706553,0.10003222798230127,0.9762820512820513,0.10003222798230127,0.9762820512820513,0.0007936142836436553
23,0.06949295605194163,0.9780982905982906,0.09451021420769394,0.9762820512820513,0.09451021420769394,0.9762820512820513,0.0007856781408072188
24,0.059737829195166174,0.9813034188034188,0.09088506411761045,0.9762820512820513,0.09088506411761045,0.9762820512820513,0.0007778213593991466
25,0.06553531687876041,0.9793447293447294,0.15624924395466222,0.9429487179487179,0.15624924395466222,0.9429487179487179,0.000770043145805155
26,0.06104353076609021,0.9807692307692307,0.08181300478609047,0.9775641025641025,0.08181300478609047,0.9775641025641025,0.0007623427143471034
27,0.06496376120908694,0.9788105413105413,0.08877200221293606,0.9788461538461538,0.08877200221293606,0.9788461538461538,0.0007547192872036325
28,0.05308862445897169,0.9846866096866097,0.12027551421895623,0.9653846153846154,0.12027551421895623,0.9653846153846154,0.0007471720943315961
29,0.0429128285349262,0.9868233618233618,0.07364776382572018,0.9839743589743589,0.07364776382572018,0.9839743589743589,0.0007397003733882801
30,0.04126352553298189,0.9882478632478633,0.06480706805828959,0.9814102564102564,0.06480706805828959,0.9814102564102564,0.0007323033696543973
31,0.04446715340335769,0.9857549857549858,0.09070021085732151,0.982051282051282,0.09070021085732151,0.982051282051282,0.0007249803359578533
32,0.045110404327384786,0.9880698005698005,0.07324350174845677,0.9865384615384616,0.07324350174845677,0.9865384615384616,0.0007177305325982747
33,0.053059484365142205,0.9821937321937322,0.12971226819325238,0.9647435897435898,0.12971226819325238,0.9647435897435898,0.000710553227272292
34,0.0409725329492093,0.9877136752136753,0.10702866254840046,0.982051282051282,0.10702866254840046,0.982051282051282,0.000703447694999569
35,0.04037094435823912,0.9875356125356125,0.09555453378241509,0.9775641025641025,0.09555453378241509,0.9775641025641025,0.0006964132180495733
36,0.033739519025072114,0.9884259259259259,0.06498165940167383,0.9807692307692307,0.06498165940167383,0.9807692307692307,0.0006894490858690775
37,0.03049948841296348,0.9893162393162394,0.0857587033341406,0.9801282051282051,0.0857587033341406,0.9801282051282051,0.0006825545950103868
38,0.029715883087853646,0.9919871794871795,0.13463109830161557,0.9698717948717949,0.13463109830161557,0.9698717948717949,0.000675729049060283
39,0.030190132693281736,0.9919871794871795,0.07249622985487804,0.9814102564102564,0.07249622985487804,0.9814102564102564,0.0006689717585696801
40,0.03163819769476752,0.99002849002849,0.07212252943543718,0.9788461538461538,0.07212252943543718,0.9788461538461538,0.0006622820409839833
41,0.023032833120933818,0.9934116809116809,0.07739288866054267,0.982051282051282,0.07739288866054267,0.982051282051282,0.0006556592205741434
