epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,learning_rate
0,1.8387260421728477,0.32532051282051283,1.5525268745422363,0.3467948717948718,1.5525268745422363,0.3467948717948718,0.00099
1,1.0396353877507722,0.6029647435897436,0.8769455552101135,0.6012820512820513,0.8769455552101135,0.6012820512820513,0.0009801
2,0.6203963470000488,0.7622195512820513,1.4381718648225068,0.4237179487179487,1.4381718648225068,0.4237179487179487,0.000970299
3,0.4079048406237211,0.8477564102564102,0.33704691894352434,0.8987179487179487,0.33704691894352434,0.8987179487179487,0.0009605960099999999
4,0.2580726386453861,0.9230769230769231,0.2820221496745944,0.9102564102564102,0.2820221496745944,0.9102564102564102,0.0009509900498999999
5,0.2194217444421389,0.9270833333333334,0.6167714588344098,0.7846153846153846,0.6167714588344098,0.7846153846153846,0.0009414801494009999
6,0.21599803511530924,0.9268830128205128,0.3476782048121095,0.8698717948717949,0.3476782048121095,0.8698717948717949,0.0009320653479069899
7,0.16551885772974062,0.9491185897435898,0.5852874955628067,0.7878205128205128,0.5852874955628067,0.7878205128205128,0.00092274469442792
8,0.1454396309951941,0.9529246794871795,0.19552571415901185,0.9487179487179487,0.19552571415901185,0.9487179487179487,0.0009135172474836408
9,0.1248002674144048,0.9621394230769231,0.24488550068810583,0.9134615384615384,0.24488550068810583,0.9134615384615384,0.0009043820750088043
10,0.12244683852753578,0.961738782051282,0.1906456369627267,0.95,0.1906456369627267,0.95,0.0008953382542587163
11,0.10901263838586135,0.9653445512820513,0.1871272721188143,0.9320512820512821,0.1871272721188143,0.9320512820512821,0.0008863848717161291
12,0.108176378485484,0.9647435897435898,0.26036561820073983,0.9211538461538461,0.26036561820073983,0.9211538461538461,0.0008775210229989678
13,0.09431620450833669,0.9735576923076923,0.3834588955261279,0.882051282051282,0.3834588955261279,0.882051282051282,0.0008687458127689781
14,0.08793363808534849,0.9741586538461539,0.17510401912673842,0.9564102564102565,0.17510401912673842,0.9564102564102565,0.0008600583546412883
15,0.06966731680604892,0.9795673076923077,0.110606684461236,0.9743589743589743,0.110606684461236,0.9743589743589743,0.0008514577710948754
16,0.06527827329073961,0.9809695512820513,0.11686517135240138,0.9775641025641025,0.11686517135240138,0.9775641025641025,0.0008429431933839266
17,0.07596500233436625,0.9775641025641025,0.1125926705263555,0.9769230769230769,0.1125926705263555,0.9769230769230769,0.0008345137614500873
18,0.07978576618748215,0.9763621794871795,0.11733398583717644,0.9692307692307692,0.11733398583717644,0.9692307692307692,0.0008261686238355864
19,0.06347826763223378,0.9821714743589743,0.09834651642944664,0.9782051282051282,0.09834651642944664,0.9782051282051282,0.0008179069375972306
20,0.06484553690713185,0.9803685897435898,0.1626858183630975,0.9692307692307692,0.1626858183630975,0.9692307692307692,0.0008097278682212583
21,0.06353918355531417,0.9853766025641025,0.0970128202624619,0.9775641025641025,0.0970128202624619,0.9775641025641025,0.0008016305895390457
22,0.05421215819959075,0.9807692307692307,0.2062095507059712,0.9378205128205128,0.2062095507059712,0.9378205128205128,0.0007936142836436553
23,0.04537423622484008,0.9865785256410257,0.10204279713332653,0.9794871794871794,0.10204279713332653,0.9794871794871794,0.0007856781408072188
24,0.0478532500923253,0.9865785256410257,0.12129595778882503,0.9685897435897436,0.12129595778882503,0.9685897435897436,0.0007778213593991466
25,0.051078736931324385,0.9841746794871795,0.10544371966680047,0.9737179487179487,0.10544371966680047,0.9737179487179487,0.000770043145805155
26,0.040217190933151126,0.9887820512820513,0.12813515580666718,0.9666666666666667,0.12813515580666718,0.9666666666666667,0.0007623427143471034
27,0.0315701948860899,0.9907852564102564,0.08922289891866968,0.9814102564102564,0.08922289891866968,0.9814102564102564,0.0007547192872036325
28,0.03776782748396867,0.9893830128205128,0.11310837388271466,0.9769230769230769,0.11310837388271466,0.9769230769230769,0.0007471720943315961
29,0.031355537253264815,0.9917868589743589,0.09658728205831721,0.9801282051282051,0.09658728205831721,0.9801282051282051,0.0007397003733882801
30,0.029160405076347675,0.9923878205128205,0.08343685871805065,0.9826923076923076,0.08343685871805065,0.9826923076923076,0.0007323033696543973
31,0.027196396306419793,0.991386217948718,0.10804283211939036,0.9762820512820513,0.10804283211939036,0.9762820512820513,0.0007249803359578533
32,0.027526274660769373,0.9927884615384616,0.0993155337247299,0.9775641025641025,0.0993155337247299,0.9775641025641025,0.0007177305325982747
