model_name,exp_rep_num,mdl_rep_num,test_accuracy,test_loss,train_accuracy,train_loss,data_type,condition,test_condition,noise_level,batch_size,epochs,learning_rate,window_size,overlap,label_column,dim_type,log_time,class_names,precision_per_class,recall_per_class,f1_per_class,support_per_class,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
ImprovedProjDilResTransformer2_2d,0,0,99.03846153846155,0.055434241854499515,99.98219373219374,0.0002898525154288391,Waveglove_m,All_even,[0],0,64,150,0.001,130,0,y,time_domain,2025-02-11_23-06-25,"['grab', 'hand swipe left', 'hand swipe right', 'metal', 'page flip', 'peace', 'pinch in', 'pinch out', 'thumb double tap', 'ungrab']","[1.0, 0.9872611464968153, 0.9935483870967742, 0.9748427672955975, 1.0, 0.9803921568627451, 0.9872611464968153, 1.0, 0.9872611464968153, 0.9935483870967742]","[0.9935897435897436, 0.9935897435897436, 0.9871794871794872, 0.9935897435897436, 1.0, 0.9615384615384616, 0.9935897435897436, 1.0, 0.9935897435897436, 0.9871794871794872]","[0.9967845659163987, 0.9904153354632588, 0.990353697749196, 0.9841269841269842, 1.0, 0.970873786407767, 0.9904153354632588, 1.0, 0.9904153354632588, 0.990353697749196]","[156, 156, 156, 156, 156, 156, 156, 156, 156, 156]",0.9904115137842338,0.9903846153846155,0.9903738738339319,0.9904115137842336,0.9903846153846154,0.9903738738339317
projDil3Resnet3_2d,0,0,99.03846153846155,0.06628976603996983,100.0,0.00016160260661166197,Waveglove_m,All_even,[0],0,64,150,0.001,130,0,y,time_domain,2025-02-11_23-21-25,"['grab', 'hand swipe left', 'hand swipe right', 'metal', 'page flip', 'peace', 'pinch in', 'pinch out', 'thumb double tap', 'ungrab']","[0.9810126582278481, 0.9935483870967742, 0.9872611464968153, 1.0, 1.0, 0.9934640522875817, 0.9872611464968153, 0.9811320754716981, 0.9873417721518988, 0.9935483870967742]","[0.9935897435897436, 0.9871794871794872, 0.9935897435897436, 0.9743589743589743, 1.0, 0.9743589743589743, 0.9935897435897436, 1.0, 1.0, 0.9871794871794872]","[0.9872611464968154, 0.990353697749196, 0.9904153354632588, 0.9870129870129869, 1.0, 0.9838187702265372, 0.9904153354632588, 0.9904761904761905, 0.9936305732484078, 0.990353697749196]","[156, 156, 156, 156, 156, 156, 156, 156, 156, 156]",0.9904569625326207,0.9903846153846155,0.9903737733885848,0.9904569625326204,0.9903846153846154,0.9903737733885847
